username,rating,helpful,total,date,title,review,topic,sentiment_score,subjectivity,person_name
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
",but never got around to see it before it disappeared .,viewing_experience,3,O,None
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","Sitting here , long after in the aftermath , I might never forgive myself for missing that opportunity .",emotion,3,S,None
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","Eventually I did get around to see it , though a small TV never does a film the same justice a theater does ,",viewing_experience,3,S,None
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","and being a bit sceptic about the small hype this movie caused made me prejudice about it ,",expectation,2,S,None
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
",but I must say I have never been so wrong before .,emotion,5,S,None
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
",And I am happy saying it .,emotion,5,S,None
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","This movies biggest crime , and yet its biggest asset , is that it is in French .",themes_messages,3,S,None
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","Subtitles just does not bring full justice to a movie like this ,",viewing_experience,2,S,None
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","and it is bound to scare off most of the audience not used to subtitled movies . Sad to say so ,",viewing_experience,2,S,None
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
",but I believe it is the truth .,themes_messages,3,S,None
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","I do not know any French at all ,",viewing_experience,3,O,None
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","but I sure wish I was fluent watching this movie ! Compared to most other films "" Amelie "" (",emotion,4,S,None
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","and I will stick to "" Amelie "" since "" Le Fabuleux destin d""Amélie Poulain "" is a bit long to write ) is based on a rather ordinary and plain story everyone can relate to ,",story_plot,3,O,None
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","but it is given to us in a very special kind of way , mixed with wonderful little subplots and an almost chaotic amount of details .",storytelling,4,S,None
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","We get to see and experience the world and especially Paris through the filtering eyes and fantasy of Amelie , A Paris that might feel small and limited on the screen",story_plot,3,O,None
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
",but in fact is just as big as it is in the eyes of Amelie .,story_plot,3,O,None
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","Director Jean - Pierre Jeunet brings to life the world of Amelie with colors , masterful camerawork and a few special effects ( Well , I have certainly felt like melting a couple of times too in my life ! ) .",filmmaking_direction,5,S,Jean-Pierre Jeunet
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
","Some people I spoke to before seeing "" Amelie "" criticized it for being too childish and unrealistic ,",viewing_experience,2,S,None
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
",but I believe it is an essential part of the movie since Amelie herself is a very childish and imaginative young girl .,character_development,4,S,None
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
",She just happens to fall in love one day when she decides to embark on a quest .,story_plot,3,O,None
mucronate,10,697,799,2 January 2003," She makes ME fall in love too!
",Jean - Pierre Jeunet manages to bring us along without losing control of the set or the plot .,filmmaking_direction,4,S,Jean-Pierre Jeunet
