username,rating,helpful,total,date,title,review
MR_Heraclius,10,52,61,23 February 2020," Awesome movie, watched it multiple times
","This film is every definition of the word "" impeccable ."
MR_Heraclius,10,52,61,23 February 2020," Awesome movie, watched it multiple times
",""" Scorcese""s fantastic storytelling ability mixed with phenomenal acting from DiCaprio , Hill and the rest of the cast makes for an awesome combination ."
MR_Heraclius,10,52,61,23 February 2020," Awesome movie, watched it multiple times
",The film is never boring and gives you a glimpse into the life of a man who had everything in the world only to have it taken away .
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","In the mid-1990s , Jordan Belfort ( Leonardo DiCaprio ) and the rest of his associates from brokerage firm Stratton Oakmont became the very definition of excess and debauchery , their offices a boiler room fueled by cocaine and greed ."
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","High pressure sales tactic and less - than - legal behind - the - scenes manipulation bred plenty of twenty - something millionaires ,"
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
",and Belfort built himself an empire at the top of the heap .
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","His rise and fall is chronicled in The Wolf of Wall Street , based on the memoir of the same name ."
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","Under most circumstances , the actions of Belfort and his cronies ( including Jonah Hill in a howlingly funny turn as Belfort""s business partner ) would be viewed as disgustingly abhorrent , but Martin Scorsese frames this tale of greed with a comedic lens that allows us to laugh at things we probably shouldn""t find humorous ."
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","Whether it""s a clumsy attempt at fisticuffs between two characters overdosing on Quaaludes , or the categorization of prostitutes using stock market terminology ( "" blue chip "" hookers make you wear a condom"
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","and typically accept credit cards ) , the film is outrageous from start to finish ,"
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
",and rarely falters in its quest to entertain the audience for three hours .
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","Belfort manages to delude himself and his pals into thinking they can live like this forever ,"
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","but the audience knows better , and Belfort""s eventual comeuppance is hardly surprising ."
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","But the path is paved with hilarity , especially in a scene aboard the mogul""s luxury yacht , where he surreptitiously offers a pair of FBI agents everything from booze to girls to cold hard cash in exchange for their silence ."
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","And let""s not forget his punishment for drunkenly piloting a helicopter into the backyard of his estate at 3 am , raising the ire of his trophy wife ( Margot Robbie ) ."
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","Scorsese has always managed to elicit astounding performances from his actors ,"
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","and his fifth collaboration with Leonardo DiCaprio results in one of the most charismatic , despicable , offensive and captivating characters to ever appear on screen ."
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","As financial bad boy Belfort , DiCaprio swaggers from scene to scene ingesting eye - popping amounts of narcotics , groping and fondling nearly every female within reach ,"
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
",and spouting more profanity in three hours than an entire season of The Sopranos .
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","Belfort is the kind of person that any sane person would detest in real life ,"
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","but thanks to Scorses and DiCaprio , we can""t take our eyes off him ."
BrentHankins,9,501,715,24 December 2013," DiCaprio gives the best performance of his career.
","-- Brent Hankins , www . Nerdrep . Com"
notoriousCASK,9,29,36,24 October 2018," ""Money is the oxygen of capitalism and I wanna breathe more than any other human being alive.""
","It""s no surprise that Scorsese is associated with the gangster genre with films such as The Departed , Goodfellas and Casino , of which the last two are possibly the best pure examples of the genre ."
notoriousCASK,9,29,36,24 October 2018," ""Money is the oxygen of capitalism and I wanna breathe more than any other human being alive.""
",In Goodfellas the gangsters are dangerous
notoriousCASK,9,29,36,24 October 2018," ""Money is the oxygen of capitalism and I wanna breathe more than any other human being alive.""
","but they operate on a more underground level , in Casino they practically run a major city"
notoriousCASK,9,29,36,24 October 2018," ""Money is the oxygen of capitalism and I wanna breathe more than any other human being alive.""
",and can do whatever they like .
notoriousCASK,9,29,36,24 October 2018," ""Money is the oxygen of capitalism and I wanna breathe more than any other human being alive.""
","The gangsters were and will always be a part in America""s system ."
notoriousCASK,9,29,36,24 October 2018," ""Money is the oxygen of capitalism and I wanna breathe more than any other human being alive.""
","Now , the gangsters are not just accepted by the system ,"
