movie_title,title,review,rating,helpful,total,date,topic,sentiment_score,subjectivity,person_name
The Ring," Confusing
",but was extremely implausible and confusing .,5,1,2,30 May 2004,story_plot,2,S,None
The Ring," Confusing
",Naomi Watts was very good as were the rest of the cast .,5,1,2,30 May 2004,acting_performance,4,S,Naomi Watts
The Ring," Confusing
","The director borrowed from many other horror films ( the titles from The Shining , the boy from The Omen , the flies from the Amityville Horror ) .",5,1,2,30 May 2004,filmmaking_direction,3,O,None
The Ring," Confusing
","It had some great scary moments ,",5,1,2,30 May 2004,viewing_experience,4,S,None
The Ring," Confusing
",but is not a great film .,5,1,2,30 May 2004,viewing_experience,2,S,None
The Ring," Confusing
",The cinematography was excellent and the music was very good .,5,1,2,30 May 2004,technical_visuals,5,S,None
Public Enemies," Awful Film
",This is a story not worth telling .,1,4,10,6 July 2009,story_plot,2,S,None
Public Enemies," Awful Film
","Although well acted , it was incredibly boring from the beginning and went nowhere .",1,4,10,6 July 2009,viewing_experience,2,S,None
Public Enemies," Awful Film
",The love story developed in about 2 seconds and never evolved .,1,4,10,6 July 2009,character_development,2,S,None
Public Enemies," Awful Film
",Mann failed to show why this couple even liked each other .,1,4,10,6 July 2009,character_development,2,S,Mann
Public Enemies," Awful Film
","So , with a poorly developed love story , there was nothing left",1,4,10,6 July 2009,story_plot,2,S,None
Public Enemies," Awful Film
",but the main predictable and aimless story .,1,4,10,6 July 2009,story_plot,2,S,None
Public Enemies," Awful Film
",What do we learn from this film ? Nothing .,1,4,10,6 July 2009,themes_messages,1,S,None
Public Enemies," Awful Film
","A guy has an addiction to robbing banks ? This is a D- version of "" Heat "" but with one storyline and a shadow of a love story .",1,4,10,6 July 2009,comparative_analysis,2,S,None
Public Enemies," Awful Film
","Mann thinks he""s being original by having Dillinger casually walk around a section of the police department that is dedicated to tracking him down .",1,4,10,6 July 2009,filmmaking_direction,2,S,Mann
Public Enemies," Awful Film
","We""ve seen the kind of character bravado in WAY too many films .",1,4,10,6 July 2009,character_development,2,S,None
Public Enemies," Awful Film
","It is no longer original . It""s boring .",1,4,10,6 July 2009,story_plot,2,S,None
Public Enemies," Awful Film
",This was incredibly painful to watch because it dulls the mind so much .,1,4,10,6 July 2009,viewing_experience,1,S,None
Public Enemies," Awful Film
","It is by far , Mann""s WORST film ever . D-",1,4,10,6 July 2009,filmmaking_direction,1,S,Mann
American Hustle," Awful
",This movie was terrible .,4,14,27,31 December 2013,viewing_experience,1,S,None
American Hustle," Awful
","It was too long , confusing , boring , poorly directed and poorly written .",4,14,27,31 December 2013,filmmaking_direction,1,S,None
American Hustle," Awful
",The pace was all over the place .,4,14,27,31 December 2013,editing_pacing,2,S,None
American Hustle," Awful
","It was a poor man""s Scorsese .",4,14,27,31 December 2013,comparative_analysis,2,S,Martin Scorsese
American Hustle," Awful
",Christian Bale did a Robert Deniro ripoff .,4,14,27,31 December 2013,comparative_analysis,2,S,"Christian Bale, Robert De Niro"
American Hustle," Awful
","The actors should have been reigned in by the director ,",4,14,27,31 December 2013,filmmaking_direction,2,S,None
American Hustle," Awful
",but were given too much freedom .,4,14,27,31 December 2013,filmmaking_direction,2,S,None
American Hustle," Awful
","I""m surprised that the film has made so much money ,",4,14,27,31 December 2013,commercial_context,3,S,None
American Hustle," Awful
","but that doesn""t mean it""s a good film .",4,14,27,31 December 2013,viewing_experience,2,S,None
American Hustle," Awful
","It""s a film that COULD have been great ,",4,14,27,31 December 2013,expectation,3,S,None
American Hustle," Awful
",but it failed in almost every way .,4,14,27,31 December 2013,viewing_experience,1,S,None
American Hustle," Awful
","David O. Russell was trying to be Martin Scorsese : ( 1 ) Christian Bale was doing a Deniro imitation ( 2 ) Same narration style as many of Scorsese""s films ( 3 ) Mob / Casino theme ( 4 ) Out of control wife and mistress ( 5 ) Similar music supervision style ( such a Scorsese ripoff , it""s embarrassing)The cinematography was unfocused ! Sometime the camera would pan slightly for no reason .",4,14,27,31 December 2013,comparative_analysis,2,S,"David O. Russell, Martin Scorsese"
American Hustle," Awful
","Most of the actors "" East Coast accents were borderline cartoonish .",4,14,27,31 December 2013,acting_performance,2,S,None
American Hustle," Awful
","I suspect ( and hope ) that a lot of the dialog was improvised because it was distracting , slowed down the film",4,14,27,31 December 2013,writing_dialogue,2,S,None
American Hustle," Awful
","and didn""t help propel the storyline .",4,14,27,31 December 2013,story_plot,2,S,None
American Hustle," Awful
",Where were the producers ? They should have demanded rewrites and a better edit .,4,14,27,31 December 2013,editing_pacing,2,S,None
American Hustle," Awful
","I can""t believe this film was released this way .",4,14,27,31 December 2013,viewing_experience,2,S,None
American Hustle," Awful
","If this foreshadows the future quality of films , I""m going to stop watching films .",4,14,27,31 December 2013,expectation,2,S,None
American Hustle," Awful
","In the hands of a different director , this could have been good .",4,14,27,31 December 2013,filmmaking_direction,3,S,None
American Hustle," Awful
","This is a contender for the Oscars ? It""s all vapid hype ! This film deserves no awards .",4,14,27,31 December 2013,recommendation,2,S,None
American Hustle," Awful
","Deniro and Lous C. K""s performances were very good ,",4,14,27,31 December 2013,acting_performance,4,S,"Robert De Niro, Louis C.K."
American Hustle," Awful
",but not good enough to make me think the film was worth watching .,4,14,27,31 December 2013,recommendation,2,S,None
American Hustle," Awful
","I""d heard from others that the film was bad ,",4,14,27,31 December 2013,comparative_analysis,2,S,None
American Hustle," Awful
","but I didn""t expect it to be TERRIBLE .",4,14,27,31 December 2013,expectation,1,S,None
The Revenant," Ridiculous, Too Simple
",This was a huge disappointment .,4,14,27,2 January 2016,viewing_experience,2,S,None
