movie_title,title,review,rating,helpful,total,date,topic,sentiment_score,subjectivity,person_name
Blade Runner 2049," Sequel better than the original (short)
",Everything about this movie is practically perfectly executed from the gripping and fluid performances to the color infused cinematography to the powerful soundtrack and sound design the film practically never skips a beat .,10,10,24,5 October 2017,acting_performance,5,S,None
Blade Runner 2049," Sequel better than the original (short)
","The only flaw that wasn""t really even a flaw in my opinion was that some scenes dragged for quite a while",10,10,24,5 October 2017,editing_pacing,3,S,None
Blade Runner 2049," Sequel better than the original (short)
",but I believe that the slow camera work was intended .,10,10,24,5 October 2017,technical_visuals,3,S,None
Blade Runner 2049," Sequel better than the original (short)
",The film has everything that made the philosophical original ( final cut ) a flawed masterpiece just it has everything the original was lacking .,10,10,24,5 October 2017,story_plot,4,S,None
Blade Runner 2049," Sequel better than the original (short)
","Gostling fit perfectly for the role of "" K "" , being emotionless",10,10,24,5 October 2017,casting_choices,5,S,Gostling
Blade Runner 2049," Sequel better than the original (short)
",but so full of emotion .,10,10,24,5 October 2017,emotion,5,S,None
Blade Runner 2049," Sequel better than the original (short)
","Sylvia Hoeks was someone very worthy of a mention , giving an effectively eerie performance .",10,10,24,5 October 2017,acting_performance,4,S,Sylvia Hoeks
Blade Runner 2049," Sequel better than the original (short)
",Jared Leto as always is intensively remarkable,10,10,24,5 October 2017,acting_performance,5,S,Jared Leto
Blade Runner 2049," Sequel better than the original (short)
",and glued my eyes to the screen in each and every scene .,10,10,24,5 October 2017,viewing_experience,5,S,None
Blade Runner 2049," Sequel better than the original (short)
",Harrison gave one of the best and most emotional performances I have seen in his career .,10,10,24,5 October 2017,acting_performance,5,S,Harrison
Blade Runner 2049," Sequel better than the original (short)
",Now Hans Zimmer again blew me away completely .,10,10,24,5 October 2017,audio_music,5,S,Hans Zimmer
Blade Runner 2049," Sequel better than the original (short)
",I got chills every 30 seconds when the cinematography and the score perfectly intertwined into an extraordinary absorbing symphony that makes the world of Blade Runner so real despite how unimaginable it actually is . 10/10,10,10,24,5 October 2017,audio_music,5,S,None
First Man," The best Apollo movie by far
",Damien has boldly gone where ... To be honest quite a bit of people have gone before .,9,2,10,12 October 2018,direction,3,O,Damien
First Man," The best Apollo movie by far
","But he brings such gravitas to the events that unfold prior to the part of the story that most filmmakers focus on , one could even say that First Man is the BEST Apollo mission movie ever made .",9,2,10,12 October 2018,story_plot,5,S,None
First Man," The best Apollo movie by far
","Hurwitz hasn""t outdone himself like with is effort in La La Land ( which was perfect ) ,",9,2,10,12 October 2018,audio_music,2,S,Hurwitz
