movie_title,title,review,rating,helpful,total,date,topic,sentiment_score,subjectivity,person_name
Requiem for a Dream," Brutal and relentless anti-drug film.
","The actors all do an outstanding job , especially Ellen Burstyn playing the pill - popping mother of heroin addict Jared Leto .",Null,0,0,20 June 2001,acting_performance,5,S,"Ellen Burstyn, Jared Leto"
Requiem for a Dream," Brutal and relentless anti-drug film.
","The stunning visuals and fast - paced editing were superb as well ,",Null,0,0,20 June 2001,technical_visuals,5,S,None
Requiem for a Dream," Brutal and relentless anti-drug film.
",and the haunting original score by Clint Mansell helps to provide the movie with a suitably eerie atmosphere .,Null,0,0,20 June 2001,audio_music,5,S,Clint Mansell
Requiem for a Dream," Brutal and relentless anti-drug film.
","Even though the film itself seems a bit empty and overdone when examined closely , you will be too engrossed in the film""s disquieting trance to even notice .",Null,0,0,20 June 2001,viewing_experience,2,S,None
The Ring," R.I.N.G. -- Remade Into Nauseating Garbage. Another perfect example of how to Americanize (aka ruin) flawless Japanese cinema.
","Being a huge fan of the original RINGU series , I was eagerly awaiting this American remake for several months .",Null,6,11,21 October 2002,expectation,4,S,None
The Ring," R.I.N.G. -- Remade Into Nauseating Garbage. Another perfect example of how to Americanize (aka ruin) flawless Japanese cinema.
","Don""t get me wrong , I was wary at first ,",Null,6,11,21 October 2002,emotion,3,S,None
The Ring," R.I.N.G. -- Remade Into Nauseating Garbage. Another perfect example of how to Americanize (aka ruin) flawless Japanese cinema.
",but as the release date grew nearer,Null,6,11,21 October 2002,emotion,3,O,None
The Ring," R.I.N.G. -- Remade Into Nauseating Garbage. Another perfect example of how to Americanize (aka ruin) flawless Japanese cinema.
","and the trailers and positive reviews started pouring in , I became more and more anxious to see it .",Null,6,11,21 October 2002,emotion,4,S,None
The Ring," R.I.N.G. -- Remade Into Nauseating Garbage. Another perfect example of how to Americanize (aka ruin) flawless Japanese cinema.
","I walked into my local bug - infested , foul - smelling cinema with high hopes .",Null,6,11,21 October 2002,viewing_experience,3,S,None
The Ring," R.I.N.G. -- Remade Into Nauseating Garbage. Another perfect example of how to Americanize (aka ruin) flawless Japanese cinema.
","Plopping myself into a sticky , soda - encrusted seat , I began feeling a sense of overbearing excitement as I impatiently waited for the godawful previews to end",Null,6,11,21 October 2002,emotion,3,S,None
The Ring," R.I.N.G. -- Remade Into Nauseating Garbage. Another perfect example of how to Americanize (aka ruin) flawless Japanese cinema.
",and the lights to dim .,Null,6,11,21 October 2002,viewing_experience,3,O,None
The Ring," R.I.N.G. -- Remade Into Nauseating Garbage. Another perfect example of how to Americanize (aka ruin) flawless Japanese cinema.
","However , ten minutes into the movie , I knew exactly what I was in for : a dull , formulated , vastly overhyped letdown .",Null,6,11,21 October 2002,viewing_experience,2,S,None
The Ring," R.I.N.G. -- Remade Into Nauseating Garbage. Another perfect example of how to Americanize (aka ruin) flawless Japanese cinema.
","As the film trudged to an overlong , disappointing conclusion I was constantly reminded of a little promise I had made myself after seeing NIGHT OF THE LIVING DEAD ( 1990 ) , PSYCHO ( 1998 ) , and OCEAN""S ELEVEN ( 2001 ): under no circumstances will I ever watch another remake again , especially those remakes whose originals are completely faultless in and of themselves , and couldn""t possibly be effectively updated and/or improved in any way without detracting from the superiority of the original .",Null,6,11,21 October 2002,comparative_analysis,2,S,None
The Ring," R.I.N.G. -- Remade Into Nauseating Garbage. Another perfect example of how to Americanize (aka ruin) flawless Japanese cinema.
","How I wish I could keep my own promises ! In the 1998 masterpiece , a distinct feeling of dread and uneasiness was constantly present , slowly but tensely building into an unexpected and downright terrifying climax .",Null,6,11,21 October 2002,emotion,5,S,None
The Ring," R.I.N.G. -- Remade Into Nauseating Garbage. Another perfect example of how to Americanize (aka ruin) flawless Japanese cinema.
",The mood it created was absolutely haunting,Null,6,11,21 October 2002,emotion,5,S,None
