movie_title,title,review,rating,helpful,total,date
E.T. the Extra-Terrestrial," It reminds you of your childhood.
","I like the part where the boys take ET home on their bikes.This wonderful scene evokes the memory of my childhood activities with my friends.In fact, at the beginning, I didn't like ET very much physically, but the innocence of the child moved me. The danger in the eyes of adults is not understood by children, but the love in the eyes of children is not understood by adults.",8,0,0,18 March 2020
Zootopia," Good
","The story is formal, but the idea is that the children look at it and the adults look at it. It's a story about minority, stereotype and acceptance. I'm glad display plants the seed of equality to every child who sees this! Police front desk leopard is not gay, you look for me! Disney eggs are great!",8,0,0,16 March 2020
Madagascar," It's not bad
","Some people like to watch serious and thought-provoking works, while others like to easily escape from the real life of small categories. When you are overwhelmed by heavy work, watching a movie like this is actually good.Like the outstanding performance of the four penguins inside, more than the protagonist Choi, especially the final farewell, still in the wave& keep smiling is really Q.",8,0,0,22 April 2020
Ice Age: The Meltdown," Like it very much
","I like the second part very much, although I haven't seen three. In this episode, the mammoth finally has Allie and family members. After the glacier melted, the mammoths came in droves, unbelievably moving.Music is good, the expression is also realistic, I wish the new combination in the film happy cooperation ~ wait for the next episode, looking for the squirrel of pine cones ~ ~ ~",8,0,0,20 April 2020
Finding Nemo," A touching father-son relationship
","In my opinion, it is my favorite Pixar animation, the story is very full, let people see more than enough.Each role has a distinct personality, my favorite is Nemo's father, his deep love for this son's heart is very touching.",8,1,1,6 April 2020
Brokeback Mountain," Reuters warning
","You have someone who loves you, but I dare not say that you love him too, because you have too much cowardice. Of course I know you love him. You cry and swear on those two shirts, and let me also cry.But I still think: maybe you love yourself more. He's dead. He can't love you anymore. Do you regret it?",8,0,0,3 April 2020
My Neighbor Totoro," Full of childlike innocence
","This is really a film of great charm.Even the meanest judge can't help but smile at the memory of a happy childhood.The world in the eyes of children is different from that of adults.I've always believed that.Look at the world from a child's point of view, and you will find that life is actually very interesting.",10,1,1,23 March 2020
Children of Heaven," Full of childlike innocence
","To be honest, this classic is evaluated by people's hearts, not by how good the film itself is.
But who doesn't have a heart?
I like my sister in the film.A child's perspective is very touchWhen I was a kid, I was just as obsessed with something as she was.But I was so stupid, I cut my own shoes.Of course, this clumsy lie was found out by my mother.She gave me a piece of her mindðŸ¤£",8,0,0,27 April 2020
Ready Player One," Be Willing to see
","Or that, the key to a wonderful life is what you can fall in love with. And the games you lost when you were a child, the movies you fell in love with when you were young, will always come back to the future at some point, bringing you a tearful surprise.",7,0,0,29 March 2020
Shutter Island," A wonderful movieðŸ˜˜ definitely worth seeing
","Most of the wonderful film plot twists and turns, but I said that this film is not a wonderful exaggeration of the plot, but behind the plot revealed the reflection of human nature.The most controversial thing in the film should be whether the male protagonist has mental illness, about which there are many big gods who speculate that he suffers from mental illness.To me, it's more likely that he's not crazy.If he is not crazy, it is equivalent to the whole incident to repeat, this is how attractive thing!And at the same time, the possibility that he's really crazy will keep ringing in your head, and can you feel the inexplicable feeling?In fact, I want to say much more than that.But words do not say much, can not be passed on, can only be understood.",9,0,0,19 March 2020
Tangled," Overall good
","The horse is so cute.In fact, the film is not to my taste.Because the male lead really doesn't resonate with me.As a woman, I don't like him.But all in all, it's a good movie.So I can only give a good score.Finally, I have to say that the horse is too cute.",7,0,0,21 March 2020
Interstellar," Tears filled my eyes
","You should fear time, for it is the key to everything; But do not abuse love, for it is not the key to everything.
The director does his best to make accessible science fiction, hard core and full of humanity, warmth and dark side, which makes people cry.",8,0,0,29 April 2020
Forrest Gump," If this is not love, where is the true love?
","There is no bondage, no demand for return, in love with each other at the same time can withstand his or her betrayal and escape. This is true love.It is easy to love someone, but it is very difficult to bear the so-called pain as Forrest Gump does, because these are not love, more like proof of self-worth.The fool of South Alabama, Forrest Gump, finally married Jenny and gave birth to a little Forrest Gump. They live happily together. At the end of the film, when Forrest Gump stands in front of Jenny's grave and says in a South Alabama accent, 'I love you, Jenny.' It was in our eyes that tears flashed in our eyes, not because the fool finally married Jenny, but because the fool had feelings that many smart people did not have: love. And those who think they have love do not get love, nor do they know what love is.",8,1,1,29 March 2020
Harry Potter and the Deathly Hallows: Part 1," The beginning of darkness is the beginning of light
","This can be said to be the beginning of Voldemort's dark control, but also the beginning of Harry's resistance, the real light is coming.",9,0,0,2 April 2020
Dangal," It is said that it is adapted from a true story, and I like the film even more😆
","The father-daughter relationship of the protagonists is so touching.The growth of the little girls is also very good, in addition to full marks I do not know what to give.It's a great movie! Oh, I love it!In a word, this is a film full of positive energy about dreams, growth, affection and inheritance.Highly recommended.",10,0,0,19 March 2020
Edward Scissorhands," Odd Fairy Tales
","The gloomy sky is hesitating, is it snowflakes? Or raindrops?
Muddy river in the rush, is the pursuit? Or running away?
Distant lovers in the break-up, is the prelude? Or the ending?",6,1,1,27 March 2020
Spirited Away," Excellent
","In fact, I didn't think there was a love line at all.ðŸ˜‚I thought they were just friends.Other than that, it's okay. I like it.In addition, mom and dad into a pig pig is too fat to scare me.Very good-looking film, recommended!",8,0,0,23 March 2020
The Grand Budapest Hotel," A masterpiece
","For such a director, no matter how subtle the role, the actor will be willing to accept, because the most subtle role, but also enough personality, so that the audience remember.Exciting colors, unique characters, turbulent lens movement and the rhythm of take-off, can not stop the cool and praise.",8,0,0,27 March 2020
Cars," An excellent commercial film
","Like McQueen's excellence, envy every car in the town is full of hope for life, even if forgotten, never give up to improve their skills.Is the gold will always shine, as long as the test of time, you are the next winner.",7,0,0,11 April 2020
Frozen," The prince and the princess are no longer a perfect match
","Prince and princess are no longer a perfect match, love at first sight is nothing, spare tire is only spare tire, a moment of warmth and friendship is just an illusion, people who love you will not put the right above you.The one who scolds you and tells you that it's impulsive and delusional, even if it seems to be hurting you and away from you, is the one who has been protecting you.",8,0,1,31 March 2020
Schindler's List," An unforgettable film
","The protagonist is very persistent in saving people. Because there are too many people to save, even if he is an entrepreneur, there is not enough money to save so many people.He was obsessed with saving the people he wanted to save.I'm afraid a mistake is a life.At the end of the film, the war is over, and some people are gone forever.He beat his car and cried.He thought of the people who were dying.He thought that if he sold the car, he might be able to save more people.But the reality is so cruel. You never know when the war will stop.Cherish peace.",9,0,0,21 March 2020
The Incredibles," okk~
","Pixar is still living up to expectations, from the idea to the quality of the product is wonderful and exquisite.Pixar's ideas and humor are always fresh and powerful, far better than the rigid, stereotypical, boring animation 'masterpieces' of traditional mainstream studios.",7,0,0,4 May 2020
Call Me by Your Name," Never forget
","Noisy insects chirping at one or two in the afternoon. My room. His room. Balconies that shut out the world. The breeze followed the steam from the garden up the stairs to my room.I fell in love with fishing that summer because he loved me. Fall in love with jogging because he loves.That summer I listened to the birds singing, smelled the herbs, felt the fog rising from under my feet on a sunny day, and my alert senses always rushed to him involuntarily.",8,1,3,3 April 2020
Big Hero 6," Everybody loves Baymax
","At the beginning, the plot was not very attractive, but Baymax made me completely immersed in the story.Who doesn't love such a soft and intimate robot! No one!No one does not love him.",8,1,1,17 March 2020
Harry Potter and the Order of the Phoenix," So-called growing up
","I like the feeling of watching it in the cinema.
For the content, the lines are worth remembering.
I think it is Harry's process of challenging himself and also the process of growing up.",7,0,0,2 April 2020
La La Land," True love lasts forever
","Two people know each other because of their preferences for art, influence each other, encourage each other, achieve each other's dreams, although the feelings have not bloomed and bear fruit, but leave an indelible mark in their respective lives, the last act, each realized their dreams but have long been separated by each other, in the moment when their eyes meet, it is clear that they are smiling.",8,5,6,31 March 2020
3 Idiots," Eternal Quality
","All ages, all ages will love this movie.The harshest critics will not give a bad review to a film.It's worth watching again and again, but even if you don't want to think about what it means, you'll watch it again and again just for fun.",10,1,1,27 March 2020
Up," I love it
","The strongest old grandpa and lightest house ever. A group of the most unreliable dogs and a funny bird. Plus a lovely grandma who does n't have much drama, which makes me a big love. Good movie!",9,0,0,9 April 2020
The Legend of 1900," My favorite movie
","This is my favorite movie. Hits 9 points the reason is I repugnant male main character's sentiment play, feels a little blunt. But love is always baffling and unreasonable.The friendship in the film is also very touching and unforgettable.The charming charm will be understood by those who have read it, and I will not say more.",9,0,0,16 March 2020
Harry Potter and the Sorcerer's Stone," Open the door to the magical world
","Who hasn't fantasized about receiving a letter of acceptance from Hogwarts? The author and the filmmakers are too good, and they have created a whole new world.What attracts me most is the charm and novelty of magic, the magical 9 and 3/4 platform, the wonderful magic school, the lively small partners and so on, all of which make me surprised and surprised.",7,1,1,31 March 2020
Harry Potter and the Goblet of Fire," Teenagers are always enthusiastic
","Form a connecting link between the preceding and the followingThe Goblet of Fire is like the rebellious period of a 14-year-old boy and girl, faded from childhood, began to come into contact with the background of society, the magical world and Hogwarts are no longer safe, and we have also seen that the officials and professors of the Ministry of Magic, who seem to be calm in the first few films, are beginning to show inadvertent panic and are no longer 100% calm. And our growth began when we realized that our elders were not superhuman.",8,0,0,1 April 2020
The Shape of Water," It's a lot of good points, but it doesn't make it any better
","In this gorgeous temperament, its story is mediocre, the theme also flows on the surface. Many people, known as 'dark fairy tales', have not let me appreciate the beauty of them.",6,2,8,5 April 2020
When Harry Met Sally...," Love to hear and see
","Too many love movies have been made, and it's either love at first sight or love over time.The former should use some brains in breaking up, while the latter should spend all their efforts in combining.",8,1,1,12 April 2020
Inception," An absolute classic
","People love to see things they have never seen, such as Avatar,Interstellar and Inception.Thank you for opening a new world to the audience.This is a breakthrough in thinking and has epoch-making significance.Looking forward to more excellent works.",10,1,2,20 March 2020
WALL·E," All of them are lovely
","It's been a long time since I saw such a cute cartoon. Wali would say nothing, except for the stubborn voice: Eve! They drew beautiful arcs in the starry sky, and they accidentally waited for a true love.",8,0,0,7 May 2020
The Blind Side," It is very enlightening and popular.
","Oh, when he was a little boy, what his birth mother said to him made me think of my experience for a moment.Being able to resonate is half the battle. What's the other half? It is enlightening. I'm glad the film did it.There is a line I like very much, which is the big boy's discussion about success and failure when he is preparing for the exam. All in all, it is a film well worth seeing.",10,0,0,17 March 2020
Before Sunrise," Fate makes it
","The two factors of one day's time limit and remote location allow the two to show and appreciate each other's advantages more unreservedly, while ignoring each other's shortcomings. There will be such a fresh and completely paid romance story.",8,0,0,8 April 2020
Madagascar 3: Europe's Most Wanted," Pretty good
","Only such a film can make people happy and full of childlike innocence.The fantastic and gorgeous performance in it really makes my blood boil.The episode is also very pleasant to listen to, perfect fit.",7,0,0,23 April 2020
