movie_title,title,review,rating,helpful,total,date
Ford v Ferrari," Well made
","All the aspects of the movie are very well done: Photography, directing, acting, the plot,... However, the theme of the movie is not interesting enough so it remains irrelevant",6,2,4,10 April 2020
To Be or Not to Be," Must see classic
",Comedy and drama match perfectly in the classic masterpiece. One of the greatest of the history.,9,0,0,16 October 2019
Knives Out," Overrated
",I don't understand the nomination and positve reviews. It's just an OK movie. A missed opportunity to do something better.,5,16,29,29 February 2020
The Irishman," A caricature of itself
","I'm surprised about the good reviews of this artificial try to make a good mafia movie. Most probably Netflix is cheating the votes and critics, like Disney does... terrible times for cinema...",3,4,9,7 December 2019
Aquaman," A videogame-movie
","Action, adventure, fantasy and no breath. In the genre of 'videogame-movie' does a good job. If you're looking for something more deep or creative it's not for you.",5,1,1,20 December 2019
Star Wars: Episode IX - The Rise of Skywalker," Star Wars death confirmation
","An antrocious mess and still the best movie of the new trilogy: Ep 7 was a joke and Ep 8 a torpedo to destroy Star Wars principles. At least, this movie tries... it tries to do so much and so bad that nobody will be able to resurrect Star Wars anymore, not even Godness Rey. I have spoken.",4,7,12,31 December 2019
Once Upon a Time... in Hollywood," A new and fresh masterpiece by QT
","Innovative structure and pacing. Stunning acting and direction. Inmersive, fascinating characters and situations, you wish that it never ends. Climax ending.",9,3,5,20 September 2019
Room," Inmersive and real
","Great acting and characters, the situation becomes real and you feel character's feeling by their eyes.",7,1,1,28 April 2020
1917," A great technical achievement
","Absolutely brilliant one-shot execution during the whole movie. Visually very powerful, georgeus sound and setting. However, it lacks of a better plot, characters and depth to become a war movie classic.",7,1,3,25 January 2020
Joker," Very good movie
","Good direction and acting. Solid character development. The scene of the killing in the subway is gorgeous. Probably best movie based on a superheroe ever: It actually has a plot! I hope the success of this movie changes the mind of Hollywood to invest more in quality instead of VFX.However, it's good but it lacks something else to become a masterpiece so don't put your expectations too high.",7,0,1,18 October 2019
Marriage Story," Great direction
","Tasteful scene directing, good dialogs and acting, nice photography and theatrical indie style. Also the point of view about the divorce is interesting and has some depth. Overall everything is positve but it needs something more to get a higher score, the whole movie needs more meaning and message to stand out.",6,0,1,17 April 2020
Jojo Rabbit," Not talented enough
","The purpose is interesting but it's not funny, stylish or deep enough. A more talented director, like Wes Anderson, would had made a better movie from this plot.",6,0,3,7 March 2020
Midway," Plain
",Nothing interesting here. Awful 3D battle effects.,3,2,3,14 April 2020
Deadpool," Nice try...
",One of the fresher mainstream super heroes movies of the latest years. Still pure garbage for teenagers,4,2,3,16 October 2019
Annihilation," Empty. Forced. Time waste.
",It builds the interest during the whole the movie but the ending is not satisfiying and lack of any depth so all the mistery built becomes just a waste of time. Overrated (as all Netflix films).,4,2,3,20 March 2020
